timestamp,episode,reward,total_energy_kWh,avg_temp,epsilon,comfort_violation,loss
2025-12-11 22:03:51,1,-325.50909403440454,41.73199999999999,18.215274253631478,1.0,5.7847257463685215,0.0
2025-12-11 22:03:57,2,-572.3985048659924,33.1684,12.59936436697385,0.8475428503023453,11.40063563302615,8.798009704185903
2025-12-11 22:04:04,3,-647.6410185932612,32.8344,10.958857486989887,0.6662995813682115,13.041142513010113,6.940209819489247
2025-12-11 22:04:11,4,-675.3220750476297,37.0268,10.430991336674786,0.5238143793828016,13.569008663325214,14.569855376430425
2025-12-11 22:04:18,5,-687.006366962797,41.364233999999996,10.267446935026383,0.4117990041127769,13.73255306497362,9.220719433493835
2025-12-11 22:04:24,6,-695.6840299272634,47.359081999999994,10.219693764752993,0.3237376186352221,13.780306235247005,13.193341183603152
2025-12-11 22:04:31,7,-680.6020490400965,31.615081999999997,10.205750363155781,0.25450776877280124,13.794249636844219,20.034666371038856
2025-12-11 22:04:37,8,-680.3380980425084,32.293327999999995,10.20167904292745,0.2000824143909432,13.798320957072548,43.35794166313099
2025-12-11 22:04:44,9,-684.382909647957,35.473482000000004,10.200490262106209,0.1572956799768517,13.799509737893791,48.55311076369973
2025-12-11 22:04:51,10,-673.0239379073748,25.063082000000005,10.20014315115406,0.12365869841532712,13.79985684884594,99.34002883433533
